Eng 101A,Communication Skills I,2,3,
Fil 1,Sining ng Pakikipagtalastasan,2,3
Math 102,Trigonometry,2,2,
Math 101,Algebra,2,3
Phl 2,Logic,2,3
Psy 1,General Psychology,2,3
ICS 1,Introduction to Information Technology,2,3
ICS 6L,Logic Formulation Program Tools & Quality Processes,1,1
Thy 1,Contextualized Salvation History,2,3
Eng 101B,Communication Skills II,2,3
Fil 2,Pagbasa at Pagsulat sa Iba't-Ibang Disiplina,2,3
Math 116,Plane & Solid Analytical Geometry,2,3
Phys 102,Physics I,2,2
Phys 102L,Physics I (Lab),3,1
PHist,Philippine History,2,3
ICS 2,Fund. of Problem Solving and Programming I,2,3
ICS 2L,Fund. of Problem Solving and Programming I,1,2
Thy 2,Church and Sacraments,2,3
Math 102C,Discrete Mathematics I,2,3
Math 108A,Calculus I,2,3
Phys 104,Physics II,2,2
Phys 104L,Physics II,3,1
Lit 102,Filipino Literature in English,2,3
RC,Rizal Course,2,3
ICS 3,Fund. of Problem Solving and Programming II,2,3
ICS 3L,Fund. of Problem Solving and Programming II,1,1
IM 151,Accounting I,2,3
PHL 5,Christian Ethics,2,3
Eng 104,Oral Communication Skills,2,3
Math 103,Probability and Statistics,2,2
Math 109A,Calculus II,2,3
ICS 7,Interface Design & Web Technologies,2,3
CS 102,Principles of File Organization,2,3
IM 152,Accounting II,2,3
IT 103,Computer System Organization,2,3
IT 103L,Computer System Organization (Lab),4,1,
IM 101,Management Principles and Practices,2,3
APP,Art Appreciation,2,3
BA 5,Marketing Principles,2,3
CS 103,Principles of Operating Systems,2,3
CS 113L,Alternative Operating Systems,1,1
IM 201,Database Management System,2,3
IM 153,Accounting III,2,3
IM 201L,Database Management System (Lab),1,1
SCL 3,The Social Teachings of the Church,2,3
Sem 1L,Seminar 1,5,1,
Eng 108A,Technical English,2,3
IM 203,Systems Analysis and Design,2,3
IM 203L,Systems Analysis and Design (Lab),1,1
IM 106,Operations Management,2,3
IM 154,Quantitative Methods,2,3
IM 254,Business Data Communications and Networking,2,3
IT 107,Computer Architecture,2,3
Scl 9,Marriage and Family,2,3
Ths 1L,Thesis 1,5,1,
PractL,Practicum,1,4
PGC,Philippine Government and Constitution,2,3
IM 105,Business Policies,2,3
IM 108,Business Process Re-engineering,2,3
IM 205,Information Resource Management,2,3
IM 253,Management of Information Systems,2,3
IT 109,Software Engineering,2,3
Ths 2L,Thesis 2,5,2,
NS 103,Environmental Science,2,3
ETAR,Economics w/ Taxation and Agrarian Reform,2,3
ICS 5,Professional Ethics and Values Education,2,3
ICS 8L,Graphics and Visual Computing,1,1
CS 104,COBOL Programming,2,2
CS 104L,COBOL Programming (Lab),1,1
IM 107,Entrepreneurian Management,2,3
IM 206,Business Intelligence and Information Systems Audit,2,3
Sem 2L,Seminar 2,5,1,
CS 101,Data Structures and Algorithms,2,3
CS 101L,Data Structures and Algorithms (Lab),1,1
IT 102,Logic Circuits w/ Digital Circuit Designs,2,3
IT 102L,Logic Circuits w/ Digital Circuit Designs (Lab),4,1
IM 102,Human Resource Management,2,3
IT 257,Data Communications & Networking II,2,2
IT 257L,Data Communications & Networking II (Lab),4,1,
IT 101,Basic Electronics,2,2
IT 101L,Basic Electronics (Lab),4,1,
IT 104L,Microcomputer Technology (Lab),4,1
IT 256,Data Communications and Networking I,2,2
IT 256L,Data Communications and Networking I (Lab),4,1,
IT 113,Embedded Systems,2,1
IT 258,Network Architecture Management & Security,2,3
IT 259,Network Administration,2,3
IT 259L,Network Administration (Lab),4,1,
IT 260,System Quality Assurance,2,2
Math 324,Advanced Mathematics,2,3
CS 107,Automata,2,3,
Math 112,Numerical Methods,2,3
CS 108,Operations Research,2,3
CS 105,Principles of Compiler Design,2,3
CS 106,Principles of Programming Languages,2,3
